CustomerID,Age,Gender,City,AnnualIncome_kINR,SpendingScore,PurchaseFrequency,WebsiteVisits
CUST0054,18.0,Male,Delhi,439.0,43.0,3,5
CUST0055,22.0,Female,Delhi,390.0,31.0,6,3
CUST0056,25.0,Male,Nagpur,339.0,85.0,17,13
CUST0057,30.0,Female,Thane,349.0,83.0,11,24
CUST0058,36.0,Female,Mumbai,1374.0,87.0,28,13
CUST0059,50.0,Male,Mumbai,1288.0,91.0,22,15
CUST0060,18.0,Male,Pune,407.0,26.0,2,4
CUST0061,29.0,Female,Mumbai,,89.0,18,21
CUST0062,34.0,Male,Nagpur,1530.0,88.0,17,18
CUST0063,48.0,Female,Mumbai,1628.0,17.0,4,10
CUST0064,18.0,Female,Delhi,412.0,77.0,21,9
CUST0065,37.0,Female,Nagpur,1541.0,76.0,23,12
CUST0066,34.0,Male,Mumbai,692.0,52.0,14,14
CUST0067,32.0,Male,Nagpur,816.0,42.0,18,14
CUST0068,21.0,Male,Pune,424.0,28.0,4,1
CUST0069,20.0,Female,Hyderabad,321.0,32.0,3,5
CUST0070,18.0,Male,Nagpur,353.0,50.0,6,4
CUST0071,27.0,Female,Nagpur,406.0,31.0,6,6
CUST0072,22.0,Female,Bengaluru,358.0,27.0,7,9
CUST0073,28.0,Male,Hyderabad,1793.0,13.0,1,7
CUST0074,37.0,Female,Thane,2106.0,18.0,1,6
CUST0075,24.0,Female,Bengaluru,418.0,73.0,16,32
CUST0076,29.0,Male,Pune,1203.0,76.0,28,21
CUST0077,28.0,Female,Nagpur,454.0,85.0,19,24
CUST0078,45.0,Male,Delhi,996.0,60.0,15,15
CUST0079,44.0,Female,Nashik,1578.0,86.0,26,20
CUST0080,23.0,Male,Nagpur,368.0,37.0,4,6
CUST0081,19.0,Male,Nashik,738.0,57.0,9,14
CUST0082,27.0,Female,Nashik,1637.0,75.0,15,7
CUST0083,30.0,Female,Bengaluru,350.0,69.0,18,24
CUST0084,23.0,Female,Hyderabad,300.0,32.0,3,3
CUST0085,26.0,Female,Mumbai,366.0,97.0,16,16
CUST0086,35.0,Male,Mumbai,902.0,58.0,12,11
CUST0087,26.0,Female,Mumbai,395.0,69.0,16,19
CUST0088,27.0,Male,Nashik,362.0,19.0,5,5
CUST0089,38.0,Male,Nashik,1385.0,88.0,14,17
CUST0090,39.0,Female,Pune,1371.0,66.0,23,25
CUST0091,26.0,Male,Thane,330.0,74.0,22,17
CUST0092,37.0,Male,Pune,995.0,10.0,3,10
CUST0093,56.0,Male,Hyderabad,1603.0,2.0,2,6
CUST0094,43.0,Female,Mumbai,1566.0,13.0,6,8
CUST0095,26.0,Female,Pune,357.0,82.0,18,19
CUST0096,20.0,Male,Delhi,358.0,38.0,2,4
CUST0097,18.0,Male,Pune,371.0,67.0,22,31
CUST0098,41.0,Male,Nagpur,1546.0,86.0,22,22
CUST0099,18.0,Male,Bengaluru,291.0,24.0,3,5
CUST0100,18.0,Female,Delhi,370.0,75.0,17,21
CUST0101,45.0,Female,Nashik,1240.0,9.0,6,6
CUST0102,22.0,Male,Thane,369.0,23.0,3,8
CUST0103,18.0,Male,Nagpur,284.0,32.0,4,7
CUST0104,41.0,Female,Mumbai,925.0,39.0,15,10
CUST0105,46.0,Female,Mumbai,809.0,62.0,12,12
CUST0106,24.0,Male,Pune,269.0,32.0,3,6
CUST0107,18.0,Female,Nagpur,434.0,29.0,3,6
CUST0108,41.0,Female,Delhi,748.0,56.0,7,10
CUST0109,43.0,Female,Nagpur,800.0,41.0,9,13
CUST0110,25.0,Female,Bengaluru,415.0,79.0,18,28
CUST0111,24.0,Male,Thane,365.0,47.0,3,4
CUST0112,21.0,Female,Bengaluru,287.0,24.0,5,3
CUST0113,48.0,Female,Nagpur,1257.0,13.0,5,7
CUST0114,20.0,Male,Thane,302.0,81.0,19,24
CUST0115,31.0,Female,Pune,410.0,80.0,13,24
CUST0116,27.0,Male,Hyderabad,784.0,,9,10
CUST0117,50.0,Male,Mumbai,1556.0,28.0,6,2
CUST0118,24.0,Female,Bengaluru,319.0,23.0,5,5
CUST0119,42.0,Male,Pune,1412.0,82.0,25,17
CUST0120,27.0,Male,Thane,505.0,74.0,24,22
CUST0121,28.0,Male,Hyderabad,433.0,76.0,15,27
CUST0122,36.0,Female,Thane,884.0,50.0,12,19
CUST0123,,Male,Nashik,396.0,10.0,2,6
CUST0124,46.0,Female,Mumbai,1034.0,54.0,14,9
CUST0125,35.0,Female,Bengaluru,863.0,63.0,15,12
CUST0126,48.0,Male,Nashik,1523.0,96.0,30,19
CUST0127,29.0,Female,Pune,893.0,70.0,7,18
CUST0128,30.0,Female,Pune,1607.0,78.0,22,23
CUST0129,18.0,Female,Bengaluru,273.0,23.0,4,6
CUST0130,21.0,Female,Nagpur,333.0,81.0,21,20
CUST0131,25.0,Male,Pune,331.0,15.0,3,5
CUST0132,20.0,Male,Hyderabad,437.0,62.0,16,27
CUST0133,26.0,Female,Nagpur,330.0,18.0,1,5
CUST0134,24.0,Male,Nagpur,433.0,81.0,18,26
CUST0135,31.0,Male,Delhi,402.0,82.0,19,23
CUST0136,47.0,Female,Mumbai,1246.0,73.0,27,18
CUST0137,18.0,Female,Pune,360.0,43.0,2,5
CUST0138,22.0,Male,Nagpur,814.0,51.0,14,14
CUST0139,30.0,Male,Nagpur,1381.0,80.0,17,17
CUST0140,56.0,Female,Thane,1644.0,28.0,5,2
CUST0141,23.0,Female,Delhi,457.0,70.0,20,26
CUST0142,23.0,Male,Bengaluru,273.0,38.0,4,6
CUST0143,32.0,Male,Nashik,451.0,68.0,16,27
CUST0144,21.0,Male,Pune,413.0,26.0,3,5
CUST0145,52.0,Male,Delhi,2067.0,25.0,5,6
CUST0146,45.0,Male,Nagpur,1513.0,81.0,23,25
CUST0147,27.0,Female,Nashik,274.0,84.0,13,15
CUST0148,41.0,Male,Nashik,947.0,55.0,10,9
CUST0149,38.0,Male,Nagpur,933.0,49.0,16,11
CUST0150,43.0,Male,Thane,1088.0,47.0,14,13
CUST0151,46.0,Female,Nashik,1463.0,75.0,25,14
CUST0152,38.0,Female,Nagpur,1616.0,83.0,24,16
CUST0153,24.0,Female,Thane,298.0,25.0,4,6
CUST0154,22.0,Male,Bengaluru,392.0,30.0,5,6
CUST0155,38.0,Male,Nashik,1668.0,21.0,6,4
CUST0156,37.0,Male,Bengaluru,1979.0,,3,7
CUST0157,34.0,Female,Mumbai,1544.0,68.0,24,16
CUST0158,31.0,Male,Mumbai,930.0,50.0,10,10
CUST0159,30.0,Female,Hyderabad,605.0,51.0,12,10
CUST0160,34.0,Male,Pune,1580.0,14.0,5,3
CUST0161,23.0,Female,Nashik,320.0,23.0,3,5
CUST0162,20.0,Female,Delhi,369.0,23.0,4,6
CUST0163,52.0,Female,Hyderabad,1472.0,91.0,15,13
CUST0164,49.0,Male,Nagpur,836.0,41.0,6,12
CUST0165,25.0,Male,Delhi,435.0,100.0,19,19
CUST0166,18.0,Male,Nashik,354.0,22.0,1,6
CUST0167,37.0,Female,Thane,852.0,38.0,9,13
CUST0168,35.0,Male,Hyderabad,1215.0,77.0,20,26
CUST0169,42.0,Male,Pune,1115.0,41.0,9,18
CUST0170,25.0,Female,Nagpur,468.0,66.0,15,20
CUST0171,36.0,Female,Bengaluru,772.0,48.0,9,17
CUST0172,34.0,Male,Pune,888.0,47.0,6,12
CUST0173,44.0,Male,Pune,1425.0,87.0,14,13
CUST0174,26.0,Female,Bengaluru,1117.0,92.0,23,22
CUST0175,57.0,Female,Hyderabad,1422.0,24.0,4,9
CUST0176,46.0,Female,Hyderabad,1695.0,87.0,29,21
CUST0177,38.0,Male,Bengaluru,857.0,48.0,17,12
CUST0178,27.0,Male,Thane,654.0,42.0,14,13
CUST0179,36.0,Female,Hyderabad,881.0,57.0,12,10
CUST0180,50.0,Female,Bengaluru,1566.0,99.0,21,10
CUST0181,50.0,Female,Bengaluru,1697.0,84.0,28,20
CUST0182,39.0,Male,Nagpur,1483.0,16.0,6,7
CUST0183,18.0,Female,Thane,390.0,45.0,8,6
CUST0184,51.0,Female,Pune,1277.0,82.0,25,19
CUST0185,30.0,Male,Nashik,443.0,74.0,16,27
CUST0186,24.0,Female,Thane,849.0,31.0,9,17
CUST0187,27.0,Female,Hyderabad,331.0,75.0,14,18
CUST0188,,Female,Bengaluru,276.0,23.0,2,5
CUST0189,31.0,Female,Delhi,294.0,69.0,13,23
CUST0190,38.0,Male,Hyderabad,923.0,49.0,15,5
CUST0191,20.0,Male,Bengaluru,288.0,35.0,5,6
CUST0192,36.0,Female,Mumbai,1194.0,75.0,23,23
CUST0193,27.0,Male,Mumbai,419.0,69.0,16,22
CUST0194,24.0,Male,Nashik,386.0,96.0,17,31
CUST0195,26.0,Female,Mumbai,,69.0,20,20
CUST0196,45.0,Female,Nashik,1441.0,21.0,1,2
CUST0197,43.0,Female,Nagpur,1263.0,26.0,6,3
CUST0198,53.0,Female,Nashik,1434.0,14.0,5,6
CUST0199,37.0,Male,Bengaluru,1315.0,21.0,5,7
CUST0200,45.0,Female,Nagpur,1210.0,81.0,32,19
CUST0201,26.0,Female,Thane,406.0,78.0,23,27
CUST0202,33.0,Male,Mumbai,866.0,48.0,13,8
CUST0203,19.0,Female,Hyderabad,257.0,33.0,3,3
CUST0204,36.0,Female,Delhi,714.0,36.0,5,8
CUST0205,42.0,Male,Thane,1272.0,83.0,21,20
CUST0206,52.0,Male,Hyderabad,1400.0,18.0,4,8
CUST0207,24.0,Male,Pune,314.0,27.0,1,3
CUST0208,58.0,Female,Pune,1938.0,8.0,2,5
CUST0209,42.0,Male,Bengaluru,880.0,62.0,4,8
CUST0210,50.0,Male,Nagpur,1560.0,31.0,4,2
CUST0031,38.0,Male,Pune,1066.0,61.0,8,18
CUST0173,44.0,Male,Pune,1425.0,87.0,14,13
CUST0085,26.0,Female,Mumbai,366.0,97.0,16,16
CUST0200,45.0,Female,Nagpur,1210.0,81.0,32,19
CUST0061,29.0,Female,Mumbai,444.0,89.0,18,21
CUST0156,37.0,Male,Bengaluru,1979.0,12.0,3,7
