CustomerID,Age,Gender,City,AnnualIncome_kINR,SpendingScore,PurchaseFrequency,WebsiteVisits,Cluster
CUST0095,26,Female,Pune,357,82,18,19,1
CUST0096,20,Male,Delhi,358,38,2,4,0
CUST0097,18,Male,Pune,371,67,22,31,1
CUST0098,41,Male,Nagpur,1546,86,22,22,3
CUST0099,18,Male,Bengaluru,291,24,3,5,0
CUST0100,18,Female,Delhi,370,75,17,21,1
CUST0101,45,Female,Nashik,1240,9,6,6,2
CUST0102,22,Male,Thane,369,23,3,8,0
CUST0103,18,Male,Nagpur,284,32,4,7,0
CUST0104,41,Female,Mumbai,925,39,15,10,4
CUST0105,46,Female,Mumbai,809,62,12,12,4
CUST0106,24,Male,Pune,269,32,3,6,0
CUST0107,18,Female,Nagpur,434,29,3,6,0
CUST0108,41,Female,Delhi,748,56,7,10,4
CUST0109,43,Female,Nagpur,800,41,9,13,4
CUST0110,25,Female,Bengaluru,415,79,18,28,1
CUST0111,24,Male,Thane,365,47,3,4,0
CUST0112,21,Female,Bengaluru,287,24,5,3,0
CUST0113,48,Female,Nagpur,1257,13,5,7,2
CUST0114,20,Male,Thane,302,81,19,24,1
CUST0115,31,Female,Pune,410,80,13,24,1
CUST0116,27,Male,Hyderabad,784,50,9,10,4
CUST0117,50,Male,Mumbai,1556,28,6,2,2
CUST0118,24,Female,Bengaluru,319,23,5,5,0
CUST0119,42,Male,Pune,1412,82,25,17,3
CUST0120,27,Male,Thane,505,74,24,22,1
CUST0121,28,Male,Hyderabad,433,76,15,27,1
CUST0122,36,Female,Thane,884,50,12,19,4
CUST0123,31,Male,Nashik,396,10,2,6,0
CUST0124,46,Female,Mumbai,1034,54,14,9,4
CUST0125,35,Female,Bengaluru,863,63,15,12,4
CUST0126,48,Male,Nashik,1523,96,30,19,3
CUST0127,29,Female,Pune,893,70,7,18,4
CUST0128,30,Female,Pune,1607,78,22,23,3
CUST0129,18,Female,Bengaluru,273,23,4,6,0
CUST0130,21,Female,Nagpur,333,81,21,20,1
CUST0131,25,Male,Pune,331,15,3,5,0
CUST0132,20,Male,Hyderabad,437,62,16,27,1
CUST0133,26,Female,Nagpur,330,18,1,5,0
CUST0134,24,Male,Nagpur,433,81,18,26,1
CUST0135,31,Male,Delhi,402,82,19,23,1
CUST0136,47,Female,Mumbai,1246,73,27,18,3
CUST0137,18,Female,Pune,360,43,2,5,0
CUST0138,22,Male,Nagpur,814,51,14,14,4
CUST0139,30,Male,Nagpur,1381,80,17,17,3
CUST0140,56,Female,Thane,1644,28,5,2,2
CUST0141,23,Female,Delhi,457,70,20,26,1
CUST0142,23,Male,Bengaluru,273,38,4,6,0
CUST0143,32,Male,Nashik,451,68,16,27,1
CUST0144,21,Male,Pune,413,26,3,5,0
CUST0145,52,Male,Delhi,2067,25,5,6,2
CUST0146,45,Male,Nagpur,1513,81,23,25,3
CUST0147,27,Female,Nashik,274,84,13,15,1
CUST0148,41,Male,Nashik,947,55,10,9,4
CUST0149,38,Male,Nagpur,933,49,16,11,4
CUST0150,43,Male,Thane,1088,47,14,13,4
CUST0151,46,Female,Nashik,1463,75,25,14,3
CUST0152,38,Female,Nagpur,1616,83,24,16,3
CUST0153,24,Female,Thane,298,25,4,6,0
CUST0154,22,Male,Bengaluru,392,30,5,6,0
CUST0155,38,Male,Nashik,1668,21,6,4,2
CUST0156,37,Male,Bengaluru,1979,50,3,7,2
CUST0157,34,Female,Mumbai,1544,68,24,16,3
CUST0158,31,Male,Mumbai,930,50,10,10,4
CUST0159,30,Female,Hyderabad,605,51,12,10,4
CUST0160,34,Male,Pune,1580,14,5,3,2
CUST0161,23,Female,Nashik,320,23,3,5,0
CUST0162,20,Female,Delhi,369,23,4,6,0
CUST0163,52,Female,Hyderabad,1472,91,15,13,3
CUST0164,49,Male,Nagpur,836,41,6,12,4
CUST0165,25,Male,Delhi,435,100,19,19,1
CUST0166,18,Male,Nashik,354,22,1,6,0
CUST0167,37,Female,Thane,852,38,9,13,4
CUST0168,35,Male,Hyderabad,1215,77,20,26,3
CUST0169,42,Male,Pune,1115,41,9,18,4
CUST0170,25,Female,Nagpur,468,66,15,20,1
CUST0171,36,Female,Bengaluru,772,48,9,17,4
CUST0172,34,Male,Pune,888,47,6,12,4
CUST0173,44,Male,Pune,1425,87,14,13,3
CUST0174,26,Female,Bengaluru,1117,92,23,22,1
CUST0175,57,Female,Hyderabad,1422,24,4,9,2
CUST0176,46,Female,Hyderabad,1695,87,29,21,3
CUST0177,38,Male,Bengaluru,857,48,17,12,4
CUST0178,27,Male,Thane,654,42,14,13,4
CUST0179,36,Female,Hyderabad,881,57,12,10,4
CUST0180,50,Female,Bengaluru,1566,99,21,10,3
CUST0181,50,Female,Bengaluru,1697,84,28,20,3
CUST0182,39,Male,Nagpur,1483,16,6,7,2
CUST0183,18,Female,Thane,390,45,8,6,0
CUST0184,51,Female,Pune,1277,82,25,19,3
CUST0185,30,Male,Nashik,443,74,16,27,1
CUST0186,24,Female,Thane,849,31,9,17,4
CUST0187,27,Female,Hyderabad,331,75,14,18,1
CUST0188,31,Female,Bengaluru,276,23,2,5,0
CUST0189,31,Female,Delhi,294,69,13,23,1
CUST0190,38,Male,Hyderabad,923,49,15,5,4
CUST0191,20,Male,Bengaluru,288,35,5,6,0
CUST0192,36,Female,Mumbai,1194,75,23,23,3
CUST0193,27,Male,Mumbai,419,69,16,22,1
CUST0194,24,Male,Nashik,386,96,17,31,1
CUST0195,26,Female,Mumbai,821,69,20,20,1
CUST0196,45,Female,Nashik,1441,21,1,2,2
CUST0197,43,Female,Nagpur,1263,26,6,3,2
CUST0198,53,Female,Nashik,1434,14,5,6,2
CUST0199,37,Male,Bengaluru,1315,21,5,7,2
CUST0200,45,Female,Nagpur,1210,81,32,19,3
CUST0201,26,Female,Thane,406,78,23,27,1
CUST0202,33,Male,Mumbai,866,48,13,8,4
CUST0203,19,Female,Hyderabad,257,33,3,3,0
CUST0204,36,Female,Delhi,714,36,5,8,4
CUST0205,42,Male,Thane,1272,83,21,20,3
CUST0206,52,Male,Hyderabad,1400,18,4,8,2
CUST0207,24,Male,Pune,314,27,1,3,0
CUST0208,58,Female,Pune,1938,8,2,5,2
CUST0209,42,Male,Bengaluru,880,62,4,8,4
CUST0210,50,Male,Nagpur,1560,31,4,2,2
CUST0061,29,Female,Mumbai,444,89,18,21,1
CUST0156,37,Male,Bengaluru,1979,12,3,7,2
